id_nodo,x,y
1,-99.16111755371094,19.422060012817383
2,-99.16100311279297,19.421541213989258
4,-99.15715026855469,19.42129135131836
5,-99.15697479248047,19.420576095581055
7,-99.16180419921875,19.423213958740234
8,-99.1616439819336,19.422565460205078
10,-99.1594467163086,19.42463493347168
11,-99.1612319946289,19.424211502075195
13,-99.16498565673828,19.42064666748047
14,-99.16390991210938,19.4209041595459
16,-99.16268920898438,19.424203872680664
17,-99.16216278076172,19.42520523071289
19,-99.15861511230469,19.43059539794922
20,-99.1578598022461,19.431325912475586
22,-99.177978515625,19.423580169677734
23,-99.1771011352539,19.423437118530273
25,-99.16084289550781,19.424734115600586
26,-99.16131591796875,19.42559242248535
28,-99.16435241699219,19.42689323425293
29,-99.16368103027344,19.427213668823242
31,-99.16387176513672,19.42756462097168
32,-99.16321563720703,19.427873611450195
34,-99.1661376953125,19.425565719604492
35,-99.16631317138672,19.425878524780273
37,-99.16881561279297,19.425539016723633
38,-99.16861724853516,19.42563247680664
40,-99.16951751708984,19.42289161682129
41,-99.16997528076172,19.42375946044922
43,-99.169677734375,19.424501419067383
44,-99.16917419433594,19.424724578857422
46,-99.17227935791016,19.418180465698242
47,-99.17293548583984,19.41803550720215
49,-99.1753158569336,19.420263290405273
50,-99.17440032958984,19.420459747314453
52,-99.1722183227539,19.417936325073242
53,-99.17289733886719,19.41779327392578
55,-99.17070770263672,19.419946670532227
56,-99.17064666748047,19.419654846191406
58,-99.1701431274414,19.421424865722656
59,-99.16864013671875,19.421754837036133
61,-99.15289306640625,19.424331665039062
62,-99.1532974243164,19.424184799194336
64,-99.15564727783203,19.424484252929688
65,-99.15509796142578,19.42461585998535
67,-99.15589904785156,19.42317008972168
68,-99.15556335449219,19.423263549804688
70,-99.15476989746094,19.42238426208496
71,-99.1547622680664,19.422014236450195
73,-99.13385772705078,19.4199275970459
74,-99.13385009765625,19.42043685913086
76,-99.15164184570312,19.454227447509766
77,-99.15113067626953,19.45518684387207
79,-99.1518325805664,19.453420639038086
81,-99.13876342773438,19.4652042388916
82,-99.14059448242188,19.465330123901367
84,-99.1436767578125,19.46440887451172
