Nombre,lat,lon
Centro Histórico,19.4333683653539,-99.1373995360123
Buenavista-Reforma,19.4427777036849,-99.1583181220797
Tlatelolco,19.4526232980126,-99.1352480223758
Morelos,19.4363328933409,-99.1163107598116
"Moctezuma, Terminal de Autobuses de Oriente (TAPO)",19.4374997610598,-99.1005910609888
Balbuena,19.4128762007569,-99.1194677092579
Obrera,19.4144918217228,-99.1447986175589
Condesa,19.4114324022425,-99.1683192740725
Nápoles,19.393355036813,-99.1723941338979
Vertiz Narvarte,19.3940460791697,-99.1468568314373
Reforma Iztaccíhuatl,19.3916000330587,-99.1304242479529
Palacio de los Deportes,19.3946792628743,-99.1107008778493
San Andrés Tetepilco,19.3721870801272,-99.1257425086512
Portales,19.3699160501147,-99.1535179224221
Del Valle,19.3755922025466,-99.1758876394129
Chapultepec-Polanco,19.4302337544074,-99.1927198823416
Panteones,19.4612870704539,-99.1986946329844
Tezozómoc,19.4865193389715,-99.2075242978758
El Rosario,19.5008519632366,-99.1908921154709
Industrial Vallejo,19.4832065629102,-99.1701755172119
La Raza,19.4584078818067,-99.1682961440622
Cuautepec,19.5684315522827,-99.1304318296732
Reclusorio Norte,19.5388575985463,-99.1492087013887
Ticomán,19.5385597849999,-99.1314219381259
Nueva Industrial Vallejo,19.5129500283723,-99.1410261822646
"Instituto Politécnico, Terminal de Autobuses del Norte",19.4900549613899,-99.1390125336357
Tepeyac,19.4980181642485,-99.1063692574241
La Villa,19.4747881889253,-99.1241249606375
Nueva Atzacoalco,19.4932291042671,-99.0921269621522
San Felipe de Jesús,19.4911387073103,-99.0757363762707
Deportivo los Galeana,19.4729893488721,-99.0766805190371
Bondojito,19.4672576524068,-99.1069818651138
San Juan de Aragón,19.4547905930488,-99.0768246937856
Aeropuerto Internacional de la Ciudad de México,19.4351869850006,-99.0717943945996
Pantitlán,19.4194143641527,-99.0632065060667
Zaragoza,19.4149834461584,-99.0872504794285
UPIICSA,19.3973315077813,-99.0776699388558
Central de Abastos,19.3800210895415,-99.0853772612207
UAM Iztapalapa,19.3613034923539,-99.0696029015108
Escuadrón 201,19.3628473960559,-99.1060753272356
Parque Cerro de la Estrella,19.3447957839179,-99.0909314364678
Lomas Estrella,19.330021316115,-99.0807334817704
Canal Nacional,19.3089707645224,-99.1004225308437
Coapa,19.2979045187359,-99.1309437302076
Culhuacán CTM,19.3254097341558,-99.1269292086052
"Campestre Churubusco, Terminal de Autobuses Taxqueña",19.3465689027119,-99.1246178619875
Viveros,19.3487399389375,-99.1702012059771
Pedregal de Santo Domingo,19.3297531086606,-99.1689855372952
Xotepingo,19.3192665640109,-99.1523161486465
Estadio Azteca,19.3030074052127,-99.1608467039708
Ciudad Universitaria,19.322224963527,-99.1952229281837
Olivar de los Padres-San Jerónimo,19.3314333842556,-99.2268974272755
Las Águilas,19.3562218295921,-99.2182644043362
Santa Lucia,19.3626310148672,-99.2395343298006
Molinos,19.3818898149828,-99.2009888060084
Santa Fe,19.3757563367674,-99.2371324580569
"Observatorio, Terminal de Autobuses Observatorio",19.3938392336048,-99.2161561258597
Las Lomas,19.4058289159073,-99.2326127189648
Cuajimalpa,19.3605221008088,-99.2930897344431
San Lorenzo Acopilco,19.2993910747223,-99.3281842078861
San Bartolo-San Mateo,19.3055281052041,-99.2877396588697
Cerro del Judío,19.261208635439,-99.2752204575887
La Magdalena Contreras,19.297028445406,-99.2288951501594
Villa Olímpica,19.2916154703151,-99.1822681225564
Padierna,19.2739581591152,-99.2204882468353
San Pedro Mártir,19.2578023796385,-99.1799875775137
Pueblo del Ajusco,19.1760110729755,-99.2180107231007
Tepepan,19.2525952865866,-99.1410549740254
Noria,19.2705540760978,-99.1085342742144
Nativitas,19.2019038050812,-99.1239365670517
Milpa Alta,19.1395086372469,-99.0511435850341
Tulyehualco,19.2397719254961,-99.0547929553963
El Molino Tezonco,19.2812197213306,-99.0719715285764
Tláhuac,19.284156011353,-99.037226875101
Mixquic,19.2501678741749,-98.9895758805557
Santa Catarina,19.3014165949858,-99.0282544762725
Reclusorio Oriente,19.318997959641,-99.0597491041187
Desarrollo Urbano Quetzalcóatl,19.3330752854061,-99.047028701258
Buenavista Iztapalapa,19.3311799383001,-99.0278919178237
Santa María de Xalpa,19.3372609338108,-99.0058090841697
San Miguel Teotongo,19.3169082702657,-98.9917043289916
Santa Martha Acatitla,19.3781512009156,-99.0184133155851
Juan Escutia,19.3684532658938,-99.0223540119817
Santa Cruz Meyehualco,19.3537161796352,-99.039263330694
Ejército Constitucionalista,19.3798482359327,-99.0501259680561
Localidades Poniente Chamapa-Lechería,19.4683001805783,-99.3827264658492
CC Interlomas-Lomas de Tecamachalco,19.4061927305242,-99.2636456723558
Club de Golf Lomas-Campo Militar Naucalpan,19.4291143712905,-99.2639664732041
San José de los Leones,19.440864690582,-99.2657412709701
San Rafael Chamapa,19.4449134225675,-99.2803267471809
Fraccionamiento Industrial Naucalpan Poniente,19.4604726547736,-99.2410698709291
Naucalpan de Juárez -Centro y Lomas,19.4671761132451,-99.2537827299098
Las Huertas,19.4597411612427,-99.2866781988067
CC Lomas Verdes-Cerro de Moctezuma,19.4965160845638,-99.283324119885
Cd Satélite Poniente,19.4998032426435,-99.2487169242839
CC Cd Satélite-Industrial Alce Blanco,19.4933313667832,-99.2233927871791
Condados de Atizapán-México Nuevo,19.5509832831583,-99.2930770731509
Periférico Barrientos-Mundo E,19.5506959311863,-99.220583192711
Zonas Industriales Tlalnepantla,19.5321574746581,-99.1984636386186
Zona Industrial Tabla Honda y San Pablo Xalpa,19.5328684488094,-99.1725330333349
Fraccionamiento Industrial Barrientos,19.5662766874887,-99.1775549092612
Club de Golf Hacienda,19.5730692075594,-99.2266951312225
U.H. Adolfo López Mateos-Central de Abastos Atizapán,19.5816391626691,-99.2522213747398
Emiliano Zapata-Lomas de San Miguel,19.5999696619857,-99.2463003301503
Vista Hermosa,19.6165212413756,-99.2938991452812
Villa Nicolás Romero,19.5994121829523,-99.3122951628472
Cahuacán-Himno Nacional,19.6272031420187,-99.4043148754512
Tepotzotlán-Villa del Carbón,19.7220836880292,-99.4081892057917
Lago de Guadalupe,19.6369679752545,-99.2661682557645
Industrial Cuamatla-San Francisco Tepojaco,19.6549775657867,-99.229847325592
Industrial Tres Ríos-INFONAVIT Norte,19.6848274117494,-99.2176657919079
Centro Urbano-CC Cuautitlán Izcalli,19.6369427446829,-99.2163354997161
San Martín Obispo,19.6132034952371,-99.2078801161363
La Quebrada-Parques Industriales,19.6823686999492,-99.1914356010386
Industrial Sin Nombre-Buenavista 2a Secc,19.5926827924824,-99.1565232509252
Tultitlán -centro-,19.6454744117083,-99.1683787311592
Melchor Ocampo-Joyas de Cuautitlán,19.6999412629255,-99.1458189628646
Coyotepec-Teoloyucan,19.7679652880558,-99.1882927105458
Huehuetoca,19.82269227256,-99.237309593234
Tequixquiac-Apaxco,19.9395801822448,-99.0842128443921
Zumpango,19.7790248052902,-99.0862927558892
Tultepec - cabecera-,19.6861594593964,-99.117963537774
Central de Abastos Tultitlán-Santiago Teyahualco,19.6464316854828,-99.1350805858387
Chilpan-Buenavista Tultitlán,19.6151938039428,-99.1530585452432
TAD San Juan Ixhuatepec,19.5253726821423,-99.1034278712477
Lázaro Cárdenas-Lomas de Tepeolulco,19.5484706495678,-99.1087697979698
Coacalco -cabecera-,19.6126317397847,-99.1065103346475
Villa de las Flores-Héroes Coacalco,19.6469232300145,-99.1061392496917
Potrero-La Laguna,19.6429686569586,-99.0833984174409
Pueblo San Pablo de las Salinas,19.6694692864437,-99.0929906883373
U.H. de San Pablo de las Salinas,19.6798036236317,-99.0858473974426
Guadalupe Victoria-Recursos Hidráulicos,19.6293430069521,-99.0591154331109
San Cristóbal Ecatepec,19.5922200017821,-99.0761365979436
La Presa-Tulpetlac,19.5692034638475,-99.0625846744562
Teleférico Ecatepec,19.5531279245239,-99.084249665673
Parques Industriales Ecatepec,19.5268114134348,-99.072312887307
Villa de Guadalupe Xalostoc,19.514005890801,-99.0607700894077
Valle de Aragón,19.4849467571795,-99.0571466202712
Bosques de Aragón,19.4707706004651,-99.0447821439498
Granjas Independencia,19.4940210547037,-99.0297493776009
Valle de Aragón 3ra Secc,19.5087323715784,-99.0463131508836
CC Center Plazas-Nueva Aragón,19.5099482901635,-99.0256614419867
Héroes de la Independencia-San Agustín,19.5355053393119,-99.0416462565625
La Costeña-Olímpica Jajalpa,19.5685536563331,-99.0440787065065
Jardines de Santa Clara-Super Plaza Ecatepec,19.5581368025815,-99.0280239249407
Multiplaza Aragón-Cd Azteca,19.5359608066715,-99.0199497875691
Jardines de Morelos,19.5973740797208,-99.0066264239875
Central de Abastos Ecatepec,19.6056806568297,-99.0194880762742
Héroes Tecámac y Ecatepec,19.6316559240304,-99.0144842744748
Los Héroes Tecámac -Bosques y Jardines-,19.6619038204491,-99.04451454782
Ojo de Agua,19.7028006294224,-99.0215988766316
Base Aérea Santa Lucia-Cuautlalpan,19.7789770515427,-98.9905449001059
Tecámac -cabecera-,19.6824004401914,-98.9664638013325
Ciudad Cuauhtémoc,19.6406132451635,-98.9924905218812
Termoeléctrica del Valle de México,19.6041563398924,-98.9827878768725
San Salvador Atenco-Peaje Pirámides,19.5846851082237,-98.9413612615023
Carretera Pirámides-Tulancingo,19.7449153002731,-98.7868379809404
Texcoco Norte-Tepexpan,19.5899402264308,-98.8631384172065
Nuevo AICM,19.5033296423041,-98.967872133535
Texcoco Centro-Chapingo,19.481985277659,-98.8704407285114
San Miguel Tlaixpan,19.4939428057965,-98.754497189306
El Sol,19.4282879255068,-99.0418100346135
Juárez Pantitlán-Mercado de Carne,19.4104322495122,-99.0497842392848
Mercado Pirules,19.4041544379877,-99.035938786277
Ayuntamiento de Nezahualcóyotl,19.4205000429102,-99.011303340558
Benito Juárez,19.4052330513346,-99.0106510700692
Metropolitana,19.3938260733302,-99.0215531583571
La Perla,19.3839973004537,-99.0014845525495
CC Plaza Neza,19.4008342499099,-98.9897132416213
Parque Industrial Izcalli,19.3797550751149,-98.9797722954361
San Lorenzo-Xochitenco,19.4008289528922,-98.9669431710396
CC Patio Chimalhuacán-Barrio La Rosita,19.4287285676762,-98.9753673684483
Barrio Labradores-Jardines Acuitlapilco,19.4431647362867,-98.9465596300824
Talladores-Central de Abastos Chicoloapan,19.4255584989463,-98.939693469825
Chicoloapan de Juárez,19.4282497139127,-98.9017449905165
Santa María Nativitas,19.4044855730202,-98.9429540212945
Valle de los Reyes,19.3690528526561,-98.9647114577152
Metro La Paz-Los Reyes,19.3577029581962,-98.9392708589084
